term,definition,tags
Thin registry,A registry that doesn't maintain WHOIS data. WHOIS data for domains under this registry are maintained by registrars.,
Third-level domain,A domain name directly below a second-level domain. Examples are en.wikipedia.org and bbc.co.uk.,
TLD,See Top-level domain,
Top-level domain,"A domain name directly below the DNS root. Examples are com, org and nl.",
Trace,"The process of looking up DNS records, starting at the DNS root, and working its way down until it lands on the requested domain name.",
Transfer code,A code that you can enter at a different registrar to move it there.,
Transfer contact email,The email address a registrar or registry has as an authorized person to transfer a domain name. This is entered upon registration and can be changed at any time. It is sometimes shown in WHOIS responses.,
Tree structure,A data-structure that stores the domain name space. It starts at a single root node and flows downwards through labels.,
UDP,A network protocol that prioritizes performance over reliability.,
UDRP,Uniform Domain-Name Dispute-Resolution. A way for trademark holders to take ownership of a domain name if it was registered in bad faith.,
Unicode,A character encoding for most of the world's writing systems.,
Verisign,A commercial organization that runs two of the DNS root servers.,
Well-known,Something is said to be well-known when it is common knowledge that does not need to be shared or looked up.,
WHOIS,A network protocol to look up domain name registration data.,
Wireshark,Software to capture and inspect local network traffic.,
Zone,"A DNS zone is a domain name and all domain names below it, excluding any domain names that have been delegated.",
Zone delegation,The process of handing over the authority of a subdomain to a child zone.,
Zone file,A text file in a formally specified syntax that can be interpreted by DNS software. It contains DNS records.,
Zone transfer,A process to synchronize DNS data from a primary to a secondary authoritative DNS server.,
